#Gen	 maxScore	 numeval
4120	7.3	1536512
4140	7.3	1536512
4160	7.3	1536512
4180	7.3	1536512
4200	7.3	1536512
4220	7.3	1536512
4240	7.3	1536512
4260	7.3	1536512
4280	7.3	1536512
4300	7.3	1536512
4320	7.3	1536512
4340	7.3	1536512
4360	7.3	1536512
4380	7.3	1536512
4400	7.3	1536512
4420	7.3	1536512
4440	7.3	1536512
4460	7.3	1536512
4480	7.3	1536512
4500	7.3	1536512
4520	7.3	1536512
4540	7.3	1536512
4560	7.3	1536512
4580	7.3	1536512
4600	7.3	1536512
4620	7.3	1536512
4640	7.3	1536512
4660	7.3	1536512
4680	7.3	1536512
4700	7.3	1536512
4720	7.3	1536512
4740	7.3	1536512
4760	7.3	1536512
4780	7.3	1536512
4800	7.3	1536512
4820	7.3	1536512
4840	7.3	1536512
4860	7.3	1536512
4880	7.3	1536512
4900	7.3	1536512
4920	7.3	1536512
4940	7.3	1536512
4960	7.3	1536512
4980	7.3	1536512
5000	7.3	1536512
5020	7.3	1536512
5040	7.3	1536512
5060	7.3	1536512
5080	7.3	1536512
5100	7.3	1536512
5120	7.3	1536512
5140	7.3	1536512
5160	7.3	1536512
5180	7.3	1536512
5200	7.3	1536512
5220	7.3	1536512
5240	7.3	1536512
5260	7.3	1536512
5280	7.3	1536512
5300	7.3	1536512
5320	7.3	1536512
5340	7.3	1536512
5360	7.3	1536512
5380	7.3	1536512
5400	7.3	1536512
5420	7.3	1536512
5440	7.3	1536512
5460	7.3	1536512
5480	7.3	1536512
5500	7.3	1536512
5520	7.3	1536512
5540	7.3	1536512
5560	7.3	1536512
5580	7.3	1536512
5600	7.3	1536512
5620	7.3	1536512
5640	7.3	1536512
5660	7.3	1536512
5680	7.3	1536512
5700	7.3	1536512
5720	7.3	1536512
5740	7.3	1536512
5760	7.3	1536512
5780	7.3	1536512
5800	7.3	1536512
5820	7.3	1536512
5840	7.3	1536512
5860	7.3	1536512
5880	7.3	1536512
5900	7.3	1536512
5920	7.3	1536512
5940	7.3	1536512
5960	7.3	1536512
5980	7.3	1536512
6000	7.3	1536512
6020	7.3	2048512
6040	7.3	2048512
6060	7.3	2048512
6080	7.3	2048512
6100	7.3	2048512
6120	7.3	2048512
6140	7.3	2048512
6160	7.3	2048512
6180	7.3	2048512
6200	7.3	2048512
6220	7.3	2048512
6240	7.3	2048512
6260	7.3	2048512
6280	7.3	2048512
6300	7.3	2048512
6320	7.3	2048512
6340	7.3	2048512
6360	7.3	2048512
6380	7.3	2048512
6400	7.3	2048512
